"","ID","ESCUELA","GRADO","Grupo","Anios","Total_meses","Sexo","Calificacion","ConteoT","Target","NumEntrenamientos","ConteoCorrecto11-14","Conteocorrecto_Target11-14","NumEntrenamientos2","ConteoCorrecto12-13","Conteocorrecto_Target12-13","Nivel _actividad","Sonrisa_Risa","Placer_alta_intensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracion","Autotranquilizacion","control_Inhibitorio","Placer_baja_intensidad","Sensibilidad perceptual","Atencion_foc","Shifting","conjunto_atencion","CE_condistractibilidad","AfectoNegativo","ExtraversionSurgency","CE_sindistractibilidad","Alerta","Orientacion","Conflicto","ANT_porcentajecorrecto","Perfiles","Perfiles_sindistac","CE_AltosBajos","AN_AltosBajos","Surgency_AltosBajos","CE_sindistrac_AltosBajos","CE_super_AltosBajos","AN_super_AltosBajos","Sugency_super_AltosBajos","CE_sindistrac_super_AltosBajos","Alerta_AltosBajos","Orientacion_AltosBajos","Conflicto_AltosBajos"
"157","157",1,2,5,NA,NA,1,8.1,12,0,3,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","158",1,2,5,NA,NA,1,9,12,0,3,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","159",1,2,5,7,88,0,8,12,1,3,1,1,2,1,1,5.23076923076923,6.30769230769231,4.53846153846154,4.46153846153846,5.15384615384615,1.92307692307692,2.83333333333333,3.27272727272727,3.33333333333333,3,6.69230769230769,6.23076923076923,6.30769230769231,6,4.55555555555556,5.8,5,5.77880341880342,3.82634032634033,4.6025641025641,5.77350427350427,-117.5,47,-103.5,89.5833333333333,"2",2,1,0,1,1,1,0,NA,1,0,1,0
"160","160",1,2,5,7,90,1,9.4,11,1,3,1,1,2,0,0,5.07692307692308,5.15384615384615,3.53846153846154,4.61538461538461,5.07692307692308,3.46153846153846,6,4.41666666666667,4.33333333333333,3.92307692307692,4.23076923076923,4.61538461538461,4.69230769230769,4.66666666666667,3.11111111111111,3.6,3.28571428571429,4.13709401709402,4.58076923076923,4.48717948717949,4.27136752136752,NA,NA,NA,NA,"1",1,0,1,0,0,0,1,NA,0,NA,NA,NA
"161","161",1,2,5,NA,NA,1,8,9,1,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","162",1,2,5,NA,NA,0,8.4,13,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","163",1,2,5,NA,NA,0,9.2,12,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","164",1,2,5,NA,NA,0,8.9,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","165",1,2,5,7,94,1,9.2,12,1,3,1,1,1,1,1,6.38461538461539,6,6.84615384615385,5,5.61538461538461,1,4,2.16666666666667,3.25,2.07692307692308,7,7,7,6.83333333333333,6.66666666666667,6.2,6.5,6.74,3.69871794871795,5.14102564102564,6.875,NA,NA,NA,NA,"2",2,1,0,1,1,1,0,1,1,NA,NA,NA
"166","166",1,2,5,NA,NA,1,7.8,11,1,3,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","167",1,2,5,NA,NA,1,9.4,14,1,3,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","168",1,2,5,NA,NA,0,9.5,13,0,3,1,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","169",1,2,5,NA,NA,0,9.2,12,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","170",1,2,5,NA,NA,0,8.8,12,0,3,1,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","171",1,2,5,NA,NA,1,8.2,14,1,3,1,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","172",1,2,5,NA,NA,0,8.5,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","173",1,2,5,7,90,1,8.6,10,1,3,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","174",1,2,5,7,88,0,8.5,12,1,3,1,1,1,1,1,4.84615384615385,5.69230769230769,4.15384615384615,4.23076923076923,5.38461538461539,3.83333333333333,4.91666666666667,3.5,4.08333333333333,3.61538461538462,3.84615384615385,4.53846153846154,5.61538461538461,5.33333333333333,3.77777777777778,5,4.21428571428571,4.85299145299145,3.99230769230769,4.69017094017094,4.81623931623932,14.5,16,84,95.1388888888888,"2",0,1,0,1,0,NA,0,NA,NA,0,0,0
"175","175",1,2,5,NA,NA,1,6.7,12,0,3,1,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
