ID,ANT_Temp,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,ConteoCorrecto12-13,Conteocorrecto_Target12-13,Nivel _actividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_errores_porcentaje_50,ANT_errores_omisión_50,ANT_errores_comision_50,ANT_porcentaje_errores_omision_50,ANT_porcentaje_errores_comision_50,ANT_porcentajecorrecto,ANT_porcentaje_correctas_50,ANT_filtrado_50,Alerta_50,Orientacion_50,Conflicto_50,Central_Cue_rt,Spatial_Cue_rt,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
KW1017,,0,1,1,1,6,72,0,8.8,,,,,4.615384615,4.615384615,4.307692308,3,5.692307692,3.692307692,4.333333333,4.166666667,5.75,3.307692308,4.076923077,4.769230769,4.846153846,4.333333333,4.222222222,3.4,3.928571429,4.314188034,4.326923077,4.320512821,4.542735043,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,,0,0,,,
KW1023,,0,1,1,1,7,86,1,8.5,,,,,4.384615385,5.307692308,5.5,5.230769231,4.307692308,3.153846154,3.833333333,4.333333333,5.583333333,4.384615385,4.923076923,5.538461538,4.307692308,5.25,5.777777778,4.8,5.428571429,5.134786325,4.611538462,4.647435897,5.218482906,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,1,1,,1,,,
KW1024,,0,1,1,1,7,85,0,10,12,1,1,1,5.272727273,5.461538462,3.923076923,4.307692308,5.307692308,2.692307692,4.333333333,3.166666667,3.583333333,3.076923077,4.692307692,5.538461538,5.230769231,5.333333333,5.333333333,4.6,5.071428571,5.207179487,3.770512821,4.494172494,5.358974359,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,1,0,,1,,,
KW1025,,0,1,1,1,,,0,8.5,12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW1030,,0,1,1,1,,,0,9.6,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW1035,,0,1,1,1,6,79,0,8.3,,,,,4.769230769,4.461538462,4.384615385,4.307692308,3.923076923,3.923076923,4.583333333,3.416666667,3.5,2.307692308,5.538461538,5.692307692,4.923076923,4.833333333,4.666666667,4.6,4.642857143,4.943076923,3.869230769,4.294871795,5.028846154,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,,0,0,,,,
KW1036,,0,1,1,1,6,75,1,7.6,,,,,5.692307692,4.923076923,6.153846154,4.272727273,4.615384615,3.076923077,3.333333333,5,5.083333333,3.75,4.538461538,4.818181818,5.3,4.916666667,3.444444444,5.6,4.214285714,4.815858586,4.341025641,4.789044289,4.619823232,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,0,,,1,,,,
KW1037,,0,1,1,1,6,76,1,7.8,,,,,5.846153846,4.615384615,5.538461538,4.461538462,5.307692308,2.923076923,4.181818182,3.916666667,3.583333333,3.615384615,4.25,3.923076923,4.461538462,4.636363636,3.666666667,3.8,3.714285714,4.097529138,3.909440559,4.782051282,4.171911422,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,,0,,,
KW1040,,0,1,1,2,,,0,8.3,13,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW1043,,0,1,1,2,,,0,9.5,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
